perplexo;perplexed
tangível;tangible
alardear;boast
íntegro;integral
oneroso;onerous
arrebatador;overwhelming
proscênio;proscenium
vislumbrar;glimpse
oblíquo;slanting
eficaz;effective
alvorecer;dawn
indômito;untamed
elidir;omit
volúvel;fickle
propício;favorable
desvelar;reveal
mitigar;alleviate
pretérito;past
perspicuidade;clarity
exortar;urge
fastidioso;tedious
estratagema;stratagem
alucinar;hallucinate
deferir;grant
condescendente;condescending
imersão;immersion
oblívio;oblivion
frugal;frugal
rústico;rustic
atônito;astonished
sereno;serene
perene;perennial
vetar;veto
ardiloso;cunning
tétrico;gloomy
efêmero;transient
embaraçoso;embarrassing
condescendência;condescension
dileto;beloved
furtivo;furtive
cândido;candid
tangenciar;touch upon
exaltar;exalt
tenaz;tenacious
acalentar;cherish
ínclito;illustrious
insigne;distinguished
azáfama;hustle
descortês;discourteous
colóquio;colloquy
dilema;dilemma
austero;austere
revés;setback
incauto;incautious
exílio;exile
déspota;despot
audácia;audacity
infundado;unfounded
arroubo;rapture
ignoto;unknown
paradoxo;paradox
vetusto;time-worn
dissoluto;dissipated
mitigação;mitigation
estratificar;stratify
circunspecto;circumspect
ceder;yield
préstimo;usefulness
subverter;subvert
esmero;meticulousness
índole;nature
pungente;pungent
obliterar;obliterate
desdém;disdain
solícito;solicitous
utópico;utopian
inefável;indescribable
inepto;inept
volição;volition
sagaz;sagacious
alcunha;nickname
inópia;dearth
furtar;steal
ínterim;interim
sorrateiro;sly
diáfano;diaphanous
obnubilar;obnubilate
despejar;pour
recluso;reclusive
recôndito;hidden
sagacidade;shrewdness
plácido;placid
fastígio;pinnacle
elucubração;elaboration
embuste;deception
arroubo;fit of passion
estultícia;folly
eminente;eminent
avultado;considerable
placidez;serenity
