atirar;throw
almoço;lunch
jantar;dinner
esperar;wait
companheiro;companion
importante;important
tristeza;sadness
alegria;joy
vontade;desire
pergunta;question
resposta;answer
problema;problem
solução;solution
bonito;handsome/pretty
fechar;close
aberto;open
segredo;secret
perigo;danger
seguro;safe
escuro;dark
claro;light
certo;right
errado;wrong
esperança;hope
medo;fear
novidade;news
curioso;curious
interessante;interesting
desinteressante;uninteresting
família;family
irmão;brother
irmã;sister
primo;cousin
tio;uncle
tia;aunt
sobrinho;nephew
sobrinha;niece
felicidade;happiness
amor;love
ódio;hatred
atitude;attitude
comportamento;behavior
experiência;experience
lembrança;memory
esquecimento;forgetfulness
ruído;noise
silêncio;silence
sensação;sensation
sentimento;feeling
abraço;hug
beijo;kiss
cuidado;care
despreocupação;carelessness
orgulho;pride
humildade;humility
orgulhoso;proud
humilde;humble
desafio;challenge
rotina;routine
diversão;fun
surpresa;surprise
normal;normal
estranho;strange
coragem;courage
covardia;cowardice
fama;fame
anonimato;anonymity
riqueza;wealth
pobreza;poverty
sorte;luck
azar;misfortune
sabor;flavor
desperdício;waste
economia;economy
desafio;challenge
insistir;insist
desistir;give up
lembrar;remember
esquecer;forget
admirar;admire
criticar;criticize
ajudar;help
prejudicar;harm
perdoar;forgive
culpar;blame
reconhecer;recognize
enganar;deceive
surpreender;surprise
enganado;deceived
acertar;hit
errar;miss
alcançar;reach
perder;lose
exigir;demand
oferecer;offer
recusar;refuse
supor;suppose
aceitar;accept
recusar;decline
respeitar;respect
